Resort ID,Resort Name,Continent,Country,State/Province,Country Code
145,. Trins,Europe,Austria,Tyrol (Tirol),AT
146,. Alfaierlift – Gschnitz,Europe,Austria,Tyrol (Tirol),AT
147,. Archenstadel – Rinn,Europe,Austria,Tyrol (Tirol),AT
148,. Kramsach,Europe,Austria,Tyrol (Tirol),AT
149,. Sternstein – Bad Leonfelden,Europe,Austria,Upper Austria (Oberosterreich),AT
150,. Schneeberglifte – Mitterland (Thiersee),Europe,Austria,Tyrol (Tirol),AT
151,aichelberglifts-karlstift-bad-grosspertholz,Europe,Austria,Lower Austria (Niederosterreich),AT
152,alberschwende-brueggelekopfdresslerbergtannerberg,Europe,Austria,Vorarlberg,AT
153,almblicklifts-strallegg,Europe,Austria,Styria (Steiermark),AT
154,alpe-furx-furx-zwischenwasser,Europe,Austria,Vorarlberg,AT
155,annaberg,Europe,Austria,Lower Austria (Niederosterreich),AT
156,annerlbauerlifte-krieglach,Europe,Austria,Styria (Steiermark),AT
157,arabichl-kirchberg-am-wechsel,Europe,Austria,Lower Austria (Niederosterreich),AT
158,arnreit,Europe,Austria,Upper Austria (Oberosterreich),AT
159,arralifts-harmanschlag-st-martin,Europe,Austria,Lower Austria (Niederosterreich),AT
160,aschaulift-koppl,Europe,Austria,Salzburg (Salzburger Land),AT
161,astenberg-wiesing,Europe,Austria,Tyrol (Tirol),AT
162,astenlift-st-veit-im-pongau,Europe,Austria,Salzburg (Salzburger Land),AT
163,bachrain-golling-an-der-salzach,Europe,Austria,Salzburg (Salzburger Land),AT
164,bad-haering,Europe,Austria,Tyrol (Tirol),AT
165,baienberg-reuthe,Europe,Austria,Vorarlberg,AT
166,baldramsdorf,Europe,Austria,Carinthia (Karnten),AT
167,bameshub-neukirchen-am-waldeeschenau,Europe,Austria,Upper Austria (Oberosterreich),AT
168,bazora-gurtisfrastanz,Europe,Austria,Vorarlberg,AT
169,berger-anger-berg-im-drautal,Europe,Austria,Carinthia (Karnten),AT
170,bernrad-natternbach,Europe,Austria,Upper Austria (Oberosterreich),AT
171,bichlalm,Europe,Austria,Tyrol (Tirol),AT
172,birgitz,Europe,Austria,Tyrol (Tirol),AT
173,birkenlift,Europe,Austria,Tyrol (Tirol),AT
174,boden-pfafflar,Europe,Austria,Tyrol (Tirol),AT
175,bodental-unterbergen-ferlach,Europe,Austria,Carinthia (Karnten),AT
176,boeglerlift-alpbach,Europe,Austria,Tyrol (Tirol),AT
177,bonka-kirchbach-st-andrae-woerdern,Europe,Austria,Lower Austria (Niederosterreich),AT
178,brandlift-scharnitz,Europe,Austria,Tyrol (Tirol),AT
179,brandlwiese-kaumberg,Europe,Austria,Lower Austria (Niederosterreich),AT
180,brandtner-lifte-hartkirchen,Europe,Austria,Upper Austria (Oberosterreich),AT
181,braz-innerbraz,Europe,Austria,Vorarlberg,AT
182,breitenwang,Europe,Austria,Tyrol (Tirol),AT
183,brenneralm-breitenfurt-bei-wien,Europe,Austria,Lower Austria (Niederosterreich),AT
184,bruggen-greifenburg,Europe,Austria,Carinthia (Karnten),AT
185,brunnalmhohe-veitsch-veitsch-st-barbara-im-muerztal,Europe,Austria,Styria (Steiermark),AT
186,bschlabs-pfafflar,Europe,Austria,Tyrol (Tirol),AT
187,buchberg-goldegg,Europe,Austria,Salzburg (Salzburger Land),AT
188,buchsteinlift-reiflingviertel-st-gallen,Europe,Austria,Styria (Steiermark),AT
189,buergeralm-aflenz,Europe,Austria,Styria (Steiermark),AT
190,bungerloch-tarrenz,Europe,Austria,Tyrol (Tirol),AT
191,dellach-im-drautal,Europe,Austria,Carinthia (Karnten),AT
192,dollwiese-vienna,Europe,Austria,Vienna (Wien),AT
193,dorflift-sulzberg,Europe,Austria,Vorarlberg,AT
194,druckerhof-unterach-am-attersee,Europe,Austria,Salzkammergut,AT
195,eberschwang-hausruck,Europe,Austria,Upper Austria (Oberosterreich),AT
196,eibisberg-anger,Europe,Austria,Styria (Steiermark),AT
197,eichfeldlift-turnau,Europe,Austria,Styria (Steiermark),AT
198,elfer-neustift,Europe,Austria,Tyrol (Tirol),AT
199,embach-hoerndl,Europe,Austria,Salzburg (Salzburger Land),AT
200,emberger-alm-berg-im-drautal,Europe,Austria,Carinthia (Karnten),AT
201,eugendorf,Europe,Austria,Salzburg (Salzburger Land),AT
202,fageralm-forstau,Europe,Austria,Salzburg (Salzburger Land),AT
203,faschina-fontanella,Europe,Austria,Vorarlberg,AT
204,feichtecklift-brandlucken-st-kathrein-am-offenegg,Europe,Austria,Styria (Steiermark),AT
205,feichten,Europe,Austria,Tyrol (Tirol),AT
206,feistritzsattel-trattenbach,Europe,Austria,Lower Austria (Niederosterreich),AT
207,fellachlift-virgen,Europe,Austria,Tyrol (Tirol),AT
208,fischbach,Europe,Austria,Styria (Steiermark),AT
209,floitenlift-ginzling,Europe,Austria,Tyrol (Tirol),AT
210,foersterkogel-puchenstuben,Europe,Austria,Lower Austria (Niederosterreich),AT
211,forsteralm-waidhofen-an-der-ybbs,Europe,Austria,Upper Austria (Oberosterreich),AT
212,frauenstaffl-ulrichsberg-waidhofen-an-der-thaya,Europe,Austria,Lower Austria (Niederosterreich),AT
213,freistadt,Europe,Austria,Upper Austria (Oberosterreich),AT
214,furtnerlifts-rohr-im-gebirge,Europe,Austria,Lower Austria (Niederosterreich),AT
215,gaaler-lifte-gaal,Europe,Austria,Styria (Steiermark),AT
