Resort ID,NameResort,Rate,Stars
1475, Trysil,4.2,4.0
1476,Hemsedal,4.0,5.0
1477,. Hafjell,4.0,3.0
1478, Kvitfjell,3.9,4.0
1479,. Myrkdalen,3.8,3.0
1480,. Geilo,3.7,3.0
1481,. Hovden,3.7,3.0
1482,. Skeikampen – Gausdal,3.6,2.0
1483, Gaustablikk – Rjukan,3.5,4.0
1484,. Oslo – Tryvann (Skimore),3.3,2.0
1485,. Gålå,3.3,2.0
1488,. Beitostølen,3.1,1.0
1587, Åre,4.0,4.0
1588,. Hemavan,3.9,3.0
1589,. Idre Fjäll,3.9,3.0
1590,. Tandådalen/Hundfjället (Sälen),3.8,3.0
1591,. Dundret Lapland – Gällivare,3.7,3.0
1592,. Lindvallen/Högfjället (Sälen),3.7,2.0
1593,. Vemdalsskalet,3.6,3.0
1594, Riksgränsen,3.4,4.0
1595,. Tärnaby,3.3,3.0
1596, Fjällby – Björkliden,3.3,4.0
1705,Jasná Nízke Tatry – Chopok,4.0,5.0
1706,. Tatranská Lomnica,3.5,3.0
1707,. Donovaly (Park Snow),3.3,2.0
1708,. Štrbské Pleso,3.1,1.0
1831,. Wildhaus – Gamserrugg (Toggenburg),3.9,3.0
1832,. Ehrwalder Wettersteinbahnen – Ehrwald,3.5,2.0
1833,. Ravna Planina,3.0,2.0
1834,. Savin Kuk – Žabljak,2.9,3.0
1835,. SnowWorld Rucphen (indoor ski area),2.7,1.0
1840, Garmisch-Classic – Garmisch-Partenkirchen,3.8,4.0
1841,. Arber,3.7,3.0
1842,. Ofterschwang/Gunzesried – Ofterschwanger Horn,3.7,3.0
1843, Nebelhorn – Oberstdorf,3.7,4.0
1844,. Söllereck – Oberstdorf,3.7,2.0
1845,. Hörnerbahn – Bolsterlang,3.7,3.0
1846,. Oberjoch (Bad Hindelang) – Iseler,3.7,3.0
1847,. Sudelfeld – Bayrischzell,3.7,3.0
1848,. Brauneck – Lenggries/Wegscheid,3.6,3.0
1849,. Nesselwang – Alpspitze (Alpspitzbahn),3.5,2.0
1850,. Spitzingsee-Tegernsee,3.5,3.0
1851,. Feldberg – Seebuck/Grafenmatt/Fahl,3.5,3.0
1852,. Jenner – Schönau am Königssee,3.4,3.0
1853,. Fichtelberg – Oberwiesenthal,3.3,2.0
1854,. Grasgehren – Bolgengrat,3.3,2.0
1855,. Alpenpark Neuss (indoor ski area),3.3,1.0
1856,. Mitterdorf (Almberg) – Mitterfirmiansreut,3.3,2.0
1857,. Balderschwang – Hochschelpen/Riedberger Horn,3.3,3.0
1858,. Winterberg (Skiliftkarussell),3.3,2.0
1859,. Götschen – Bischofswiesen,3.2,2.0
1860,. Snow Dome Bispingen (indoor ski area),3.2,1.0
1861,. Oberaudorf – Hocheck,3.2,2.0
1862,. Ochsenkopf,3.2,1.0
1863,. Kolbensattel – Oberammergau,3.1,1.0
1864,. Willingen – Ettelsberg,3.1,2.0
1865,. Pröller Skidreieck (St. Englmar),3.0,2.0
1866,. Geißkopf – Bischofsmais,3.0,2.0
1867,. Zugspitze,3.0,3.0
1868,. Postwiesen Skidorf – Neuastenberg,3.0,2.0
