Resort_ID,Resort_Name,Continent,Country,State_Province,Latitude,Longitude,Country_Code
102,. Hahnenkamm – Höfen/Reutte,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
103,goldeck-spittal-an-der-drau,Europe,Austria,Carinthia (Karnten),47.516231,14.550072,AT
104,Nordkette – Innsbruck,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
105,. Rangger Köpfl – Oberperfuss,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
106,. Zauberberg Semmering,Europe,Austria,Lower Austria (Niederosterreich),47.516231,14.550072,AT
107,. Gschwandtkopf – Seefeld,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
108,. Jungholz,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
109,stuhleck-spital-am-semmering,Europe,Austria,Styria (Steiermark),47.516231,14.550072,AT
110,markbachjochlanerkoepfl-niederau,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
111,innerkrems-kremsbruecke-krems-in-kaernten,Europe,Austria,Carinthia (Karnten),47.516231,14.550072,AT
112,. Kristberg – Silbertal,Europe,Austria,Vorarlberg,47.516231,14.550072,AT
113,. Reith bei Kitzbühel,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
114,. Schetteregg – Egg,Europe,Austria,Vorarlberg,47.516231,14.550072,AT
115,. Neunerköpfle – Tannheim,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
116,. Füssener Jöchle – Grän,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
117,praebichl-vordernberg,Europe,Austria,Styria (Steiermark),47.516231,14.550072,AT
118,petzen-feistritz-ob-bleiburg,Europe,Austria,Carinthia (Karnten),47.516231,14.550072,AT
119,kitzbueheler-horn,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
120,kasberg-gruenau-im-almtal,Europe,Austria,Upper Austria (Oberosterreich),47.516231,14.550072,AT
121,hoch-imst-imst,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
122,galsterberg-pruggern,Europe,Austria,Styria (Steiermark),47.516231,14.550072,AT
123,. Dachstein Glacier (Dachsteingletscher),Europe,Austria,Styria (Steiermark),47.516231,14.550072,AT
124,. Hochstein – Lienz,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
125,. Karwendel Bergbahn (Zwölferkopf) – Pertisau,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
126,. Rofan – Maurach,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
127,obertilliach-golzentipp,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
128,karkogel-abtenau,Europe,Austria,Salzburg (Salzburger Land),47.516231,14.550072,AT
129,hochkar-goestling,Europe,Austria,Lower Austria (Niederosterreich),47.516231,14.550072,AT
